file,required,short_text
473022.txt,T,alternatively please enclose a copy of the order in which the fixed
473023.txt,T,alternatively please enclose a copy of the order in which the fixed
473025.txt,T,alternatively please enclose a copy of the order in which the fixed
511232.txt,T,mber: please state which forms you have enclosed: form a - escape cases additional rele
511232.txt,T,yes no additional relevant information enclosed?
511232.txt,T,yes no additional relevant information enclosed?
511232.txt,T,yes no additional relevant information enclosed?
511232.txt,T,ousing uplift i confirm the information enclosed on the forms is accurate.
511232.txt,T,yesno noadditional relevant information enclosed?
511232.txt,T,please tick below which forms you have enclosed and attach them to this cover sheet.
528609.txt,T,the current duty solicitor rota please enclose a clas certificate 1310 - mag - croydon
528609.txt,T,the current duty solicitor rota please enclose a clas certificate 1310 - mag - croydon
528609.txt,T,the current duty solicitor rota please enclose a clas certificate 1310 - mag - croydon
528609.txt,T,the current duty solicitor rota please enclose a clas certificate 1310 - mag - croydon
528609.txt,T,the current duty solicitor rota please enclose a clas certificate 1310 - mag - croydon
528609.txt,T,the current duty solicitor rota please enclose a clas certificate 1310 - mag - croydon
528609.txt,T,the current duty solicitor rota please enclose a clas certificate 1310 - mag - croydon
528609.txt,T,the current duty solicitor rota please enclose a clas certificate 1310 - mag - croydon
539963.txt,T,please enclose a copy of any relevant correspondence o
539963.txt,T,please enclose all relevant correspondence or explain
539965.txt,T,please enclose the relevant order or give full details
539965.txt,T,noyes page 10civapp8 please enclose a copy of the experts estimate giving a
539965.txt,T,es no if you have answered 'yes' please enclose a copy of the expert's cv and the exper
593641.txt,T,cost order; 5 date of the costs order (enclose this) 6 name and address of the litigat
593643.txt,T,costs order 5 date of the costs order (enclose this) 5a date of the notice of legal ai
593644.txt,T,costs order 5 date of the costs order (enclose this) 6 name and address of the applica
593645.txt,T,costs order 5 date of the costs order (enclose this) 5a date of the notice of legal ai
604156.txt,T,ree - declaration i confirm that i have enclosed the following (where applicable): orig
604157.txt,T,ive - declaration i confirm that i have enclosed the following (where applicable): orig
604158.txt,T,claims) enclosure checklist - you must enclose all of the following where appropriate
604166.txt,T,e give the date the charge was laid and enclose the indictment with this claim: dx: ema
