Unique Form ID (MOJ DIGITAL),Form Reference,Form Title,Agency/Organisation,Form/Guidance/Other,Language,Doc Date,File Name,File Type,Location,Formfinder category,Downloads,Unique Downloads,References,Word Count,Approximate number of pages,Count of references,Number of times that this form is referenced within other forms,Signature,Payment,Attachment,Statement of Truth
776,A1,Hysbysiad o gais [o fwriad i fwrw ymlaen a chais] am rwymedi ariannol (ar wahan i orchymyn ariannol),HMCTS,Form,Welsh,10/2016,a1-cym.pdf,PDF,Formfinder,Ysgariad/Diddymu Partneriaeth Sifil,#N/A,#N/A,none detected,3391,11,0,23,0,0,Yes,0
459,A1,Notice of [intention to proceed with] an application for a financial remedy (other than a financial order) in the county or High Court,HMCTS,Form,English,04/2014,a1-eng.pdf,PDF,Formfinder,Divorce / Civil Partnership Dissolution,689,613,form a1,2874,9,1,23,1,0,Yes,1
777,A100,Consent to the placement of my child for adoption with any prospective adopters chosen by the Adoption Agency. Section 19 of the Adoption and Children Act 2002,HMCTS,Form,English,04/2013,a100-eng.pdf,PDF,Formfinder,Family,53,49,none detected,969,3,0,0,1,0,Yes,0
778,A101,Consent to the placement of my child for adoption with identified prospective adopters. Section 19 of the Adoption and Children Act 2002,HMCTS,Form,English,04/2013,a101-eng.pdf,PDF,Formfinder,Family,31,30,none detected,976,3,0,0,1,0,Yes,0
780,A101A,Cytundeb i wneud gorchymyn rhieni yng nghyswllt fy mhlentyn / Agreement to the making of a parental order in respect of my child,HMCTS,Form,Welsh,04/2010,a101a-bil.doc,DOC,Formfinder,Adoption,#N/A,#N/A,none detected,1103,4,0,0,1,0,Yes,0
779,A101A,Agreement to the making of a parental order in respect of my child. Section 54 of the Human Fertilisation and Embryology Act 2008,HMCTS,Form,English,04/2011,a101a-eng.doc,DOC,Formfinder,Adoption,341,285,none detected,409,2,0,0,1,0,Yes,0
781,A102,"Consent to the placement of my child for adoption with identified prospective adopter(s) and, if the placement breaks down, with any prospective adopter(s) chosen by the adoption agency. Section 19 of the Adoption and Children Act 2002",HMCTS,Form,English,04/2013,a102-eng.pdf,PDF,Formfinder,Family,22,21,none detected,1069,4,0,0,1,0,Yes,0
782,A103,Advance consent to Adoption. Section 20 of the Adoption and Children Act 2002,HMCTS,Form,English,04/2013,a103-eng.pdf,PDF,Formfinder,Family,55,50,none detected,593,2,0,0,1,0,No,0
783,A104,Consent to adoption. The Adoption and Children Act 2002,HMCTS,Form,English,04/2013,a104-eng.pdf,PDF,Formfinder,Family,85,75,none detected,668,3,0,0,1,0,Yes,0
784,A105,Consent to the making of an order under Section 84 of the Adoption and Children Act 2002,HMCTS,Form,English,04/2013,a105-eng.pdf,PDF,Formfinder,Family,37,33,none detected,837,3,0,0,1,0,Yes,0
785,A106,Withdrawal of consent. Sections 19 and 20 of the Adoption and Children Act 2002,HMCTS,Form,English,04/2011,a106-eng.pdf,PDF,Formfinder,Family,37,34,none detected,137,1,0,0,1,0,No,0
786,A107,Consent by the child's parent to adoption by their partner. The Adoption and Children Act 2002,HMCTS,Form,English,04/2013,a107-eng.pdf,PDF,Formfinder,Adoption,86,77,none detected,810,3,0,0,1,0,Yes,0
460,A2,Notice of [intention to proceed with] an application for a financial remedy in the magistrates' court,HMCTS,Form,English,04/2011,a2-eng.pdf,PDF,Formfinder,Divorce / Civil Partnership Dissolution,112,104,form a2,272,1,1,17,0,0,No,1
787,A20,Mabwysiadu: Arweiniad i Ddefnyddwyr y Llysoedd / Adoption: A Guide for Court Users,HMCTS,Guidance,Welsh,10/2003,a20-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,N/A,#VALUE!,0,3,0,0,Yes,0
93,A20,Mabwysiadu: Canllaw i ddefnyddwyr y llys teulu,HMCTS,Guidance,Welsh,04/2014,a20-cym.pdf,PDF,Formfinder,Mabwysiadu,#N/A,#N/A,"c(""cb1"", ""cb4"", ""ex50"", ""a21"", ""a58"", ""ex160a"")",N/A,#VALUE!,6,3,0,0,Yes,0
92,A20,Adoption - A guide for family court users,HMCTS,Leaflet,English,11/2016,a20-eng.pdf,PDF,Formfinder,Adoption,64,61,"c(""cb1"", ""cb4"", ""ex50"", ""a21"", ""a58"", ""ex160a"")",N/A,#VALUE!,6,3,0,0,Yes,0
310,A20(1),Canolfannau Mabwysiadu Rhyngwladol - Arweiniad a gyhoeddwyd gan Lywydd yr Adran Deulu,HMCTS,Guidance,Welsh,11/2008,a20(1)-cym.pdf,PDF,Formfinder,Mabwysiadu,#N/A,#N/A,a20,N/A,#VALUE!,2,0,0,0,No,0
309,A20(1),President's intercountry supplement,HMCTS,Leaflet,English,11/2008,a20(1)-eng.pdf,PDF,Formfinder,Adoption,3,2,a20,N/A,#VALUE!,2,0,0,0,No,0
201,A21,Mabwysiadu Rhyng-wladol a Chytundeb yr Hag 1993,HMCTS,Leaflet,Welsh,04/2014,a21-cym.pdf,PDF,Formfinder,Mabwysiadu,#N/A,#N/A,"c(""ex50"", ""a59"", ""ex160a"")",N/A,#VALUE!,3,2,0,0,Yes,0
200,A21,Intercountry adoption and the 1993 Hague Convention,HMCTS,Leaflet,English,11/2016,a21-eng.pdf,PDF,Formfinder,Adoption,4,4,"c(""ex50"", ""a59"", ""ex160a"")",N/A,#VALUE!,3,2,1,0,Yes,0
788,A4,Application for revocation of an order freeing a child for adoption,HMCTS,Form,English,06/2001,a4-eng.pdf,PDF,Formfinder,Adoption,171,157,none detected,181,1,0,13,1,0,No,0
789,A5,Application for substitution of one adoption agency for another,HMCTS,Form,English,05/2002,a5-eng.pdf,PDF,Formfinder,Adoption,44,40,none detected,197,1,0,23,1,0,Yes,0
791,A50,Cais am orchymyn lleoli. Adran 22 Deddf Mabwysiadu a Phlant 2002 / Application for a placement order Section 22 Adoption and Children Act 2002,HMCTS,Form,Welsh,04/2011,a50-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,2136,7,0,1,1,0,Yes,1
790,A50,Application for a Placement Order (Section 22 Adoption and Children Act 2002),HMCTS,Form,English,11/2014,a50-eng.pdf,PDF,Formfinder,Adoption,315,282,none detected,250,1,0,1,0,0,Yes,1
792,A50 Nodiadau / A50 Notes,Cais am Orchymyn Lleoli (Ffurflen A50) Nodiadau ar lenwi'r ffurflen / Application for a Placement Order (Form A50) Notes on completing the form,HMCTS,Notes,Welsh,12/2005,a50-nodiadau-a50-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,N/A,#VALUE!,0,0,0,0,No,0
311,A50 Notes,Application for a Placement Order (Form A50) - Notes on completing the form,HMCTS,Notes,English,04/2014,a50-notes-eng.pdf,PDF,Formfinder,Adoption,37,36,"c(""a50"", ""a65"")",N/A,#VALUE!,2,0,1,0,Yes,0
794,A51,Cais i amrywio gorchymyn lleoli. Adran 23 Deddf Mabwysiadu a Phlant 2002 / Application for variation of a placement order Section 23 Adoption and Children Act 2002,HMCTS,Form,Welsh,04/2011,a51-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,346,2,0,1,0,0,Yes,1
793,A51,Application for variation of a placement order (Section 23 Adoption and Children Act 2002),HMCTS,Form,English,11/2014,a51-eng.pdf,PDF,Formfinder,Adoption,36,33,none detected,210,1,0,1,1,0,Yes,1
795,A51 Nodiadau / A51 Notes,Cais i amrywio gorchymyn lleoli (Ffurflen 51) Nodiadau ar lenwi'r ffurflen / Application for variation of a placement order (Form A51) Notes on completing the form,HMCTS,Notes,Welsh,12/2005,a51-nodiadau-a51-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,N/A,#VALUE!,0,0,0,0,No,0
202,A51 Notes,Application for variation of a placement order (Form A51) - Notes on completing the form,HMCTS,Notes,English,04/2014,a51-notes-eng.pdf,PDF,Formfinder,Adoption,17,15,"c(""ex50"", ""a51"", ""ex160a"")",N/A,#VALUE!,3,0,0,0,Yes,0
797,A52,Cais am ddiddymu gorchymyn lleoli Adran 24 Deddf Mabwysiadu a Phlant 2002 / Application for revocation of a placement order Section 24 Adoption and Children Act 2002,HMCTS,Form,Welsh,04/2011,a52-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,1366,5,0,1,1,0,Yes,1
796,A52,Application for revocation of a Placement Order (Section 24 Adoption and Children Act 2002),HMCTS,Form,English,11/2014,a52-eng.pdf,PDF,Formfinder,Adoption,433,382,none detected,92,1,0,1,0,0,Yes,1
159,A52 Nodiadau / A52 Notes,Cais am ddiddymu gorchymyn lleoli (Ffurflen 52). Nodiadau ar lenwi'r ffurflen / Application for revocation of a placement order (Form 52). Notes on completing the form,HMCTS,Notes,Welsh,04/2011,a52-nodiadau-a52-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,"c(""a52 notes"", ""a52"", ""a65"")",N/A,#VALUE!,4,0,0,0,Yes,0
312,A52 Notes,Application for Revocation of a Placement Order (Form 52) - Notes on Completing the Form,HMCTS,Notes,English,04/2014,a52-notes-eng.pdf,PDF,Formfinder,Adoption,164,154,"c(""ex50"", ""ex160a"")",N/A,#VALUE!,2,1,0,0,Yes,0
799,A53,Cais am orchymyn cyswllt Adran 26 Deddf Mabwysiadu a Phlant 2002 / Application for a contact order Section 26 Adoption and Children Act 2002,HMCTS,Form,Welsh,04/2011,a53-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,1357,5,0,2,1,0,Yes,1
798,A53,Application for a Contact Order (Section 26 Adoption and Children Act 2002 or an order for contact or prohibiting contact under section 51A of the Adoption and Children Act 2002),HMCTS,Form,English,11/2016,a53-eng.pdf,PDF,Formfinder,Adoption,161,137,none detected,1182,4,0,2,1,0,Yes,1
120,A53 Nodiadau / A53 Notes,Cais am orchymyn cyswllt dan adran 26 Deddf Mabwysiadu a Phlant 2002 (Ffurflen A53). Nodiadau ar lenwi'r ffurflen / Application for a contact order under section 26 of the Adoption and Children Act 2002 (Form A53). Notes on completing the form,HMCTS,Notes,Welsh,04/2011,a53-nodiadau-a53-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,"c(""fp2"", ""a53 notes"", ""a53"", ""a65"")",N/A,#VALUE!,5,0,0,0,Yes,0
313,A53 Notes,Application for a Contact Order (Section 26 of the Adoption and Children Act 2002 or an order under section 51A of the Act) (Form A53). Notes on completing the form,HMCTS,Notes,English,11/2016,a53-notes-eng.pdf,PDF,Formfinder,Adoption,60,56,"c(""fp2"", ""a53"")",N/A,#VALUE!,2,1,0,0,Yes,0
801,A54,Cais i amrywio neu ddiddymu gorchymyn cyswllt (Adran 27(1)(b) Deddf Mabwysiadu a Phlant 2002) / Application for variation or revocation of a contact order (Section 27(1)(b) Adoption and Children Act 2002),HMCTS,Form,Welsh,11/2016,a54-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,769,3,0,0,1,0,No,1
800,A54,Application for variation or revocation of a Contact Order (Section 27(1)(b) or Section 51B(1)(c) Adoption and Children Act 2002),HMCTS,Form,English,11/2016,a54-eng.pdf,PDF,Formfinder,Adoption,69,65,none detected,119,1,0,0,0,0,No,1
802,A54 Nodiadau / A54 Notes,Cais i amrywio neu ddiddymu gorchymyn cyswllt a wnaed dan adran 26 Deddf Mabwysiadu a Phlant 2002 (Ffurflen A54) Nodiadau ar lenwi'r ffurflen / Application for variation or revocation of a contact order made under section 26 of the Adoption and Children Act 2002 (Form A54) Notes on completing the form,HMCTS,Notes,Welsh,12/2005,a54-nodiadau-a54-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,N/A,#VALUE!,0,0,0,0,No,0
461,A54 Notes,Application for variation or revocation of a Contact Order (Section 27(1)(b) or Section 51B(1)(c) of the Adoption and Children Act 2002) (Form A54). Notes on completing the form,HMCTS,Notes,English,11/2016,a54-notes-eng.pdf,PDF,Formfinder,Adoption,33,30,a54,N/A,#VALUE!,1,0,0,0,Yes,0
804,A55,Cais am ganiatâd i newid cyfenw plentyn (Adran 28 Deddf Mabwysiadu a Phlant 2002) / Application for permission to change a child's surname (Section 28 Adoption and Children Act 2002),HMCTS,Form,Welsh,11/2016,a55-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,462,2,0,1,1,0,Yes,1
803,A55,Application for permission to change a child's surname (Section 28 Adoption and Children Act 2002),HMCTS,Form,English,11/2016,a55-eng.pdf,PDF,Formfinder,Adoption,57,53,none detected,904,3,0,1,1,0,Yes,1
805,A55 Nodiadau / A55 Notes,Cais am ganiatâd i newid cyfenw plentyn (Ffurflen A55)Nodiadau ar lenwi'r ffurflen / Application for permission to change a child's surname (Form A55)Notes on completing the form,HMCTS,Notes,Welsh,12/2005,a55-nodiadau-a55-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,N/A,#VALUE!,0,0,0,0,No,0
203,A55 Notes,Application for permission to change a child's surname (Form A55). Notes on completing the form,HMCTS,Notes,English,11/2016,a55-notes-eng.pdf,PDF,Formfinder,Adoption,27,26,"c(""ex50"", ""a55"", ""ex160a"")",N/A,#VALUE!,3,0,0,0,Yes,0
807,A56,Cais am ganiatâd i symud plentyn o'r Deyrnas Unedig (Adran 28 Deddf Mabwysiadu a Phlant 2002) / Application for permission to remove a child from the United Kingdom (Section 28 Adoption and Children Act 2002),HMCTS,Form,Welsh,11/2016,a56-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,1750,6,0,0,1,0,Yes,1
806,A56,Application for permission to remove a child from the United Kingdom (Section 28 Adoption and Children Act 2002),HMCTS,Form,English,11/2016,a56-eng.pdf,PDF,Formfinder,Adoption,36,32,none detected,903,3,0,0,1,0,Yes,1
462,A56 Nodiadau / A56 Notes,Cais am ganiatad i symud plentyn o'r Deyrnas Unedig (Ffur en A56) - Nodiadau ar lenwi'r ffur en | Application for permission to remove a child from the United Kingdom (Form A56) - Notes on completing the form,HMCTS,Notes,Welsh,11/2016,a56-nodiadau-a56-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,a56,N/A,#VALUE!,1,0,0,0,Yes,0
463,A56 Notes,Application for permission to remove a child from the United Kingdom (Form A56). Notes on completing the form,HMCTS,Notes,English,11/2016,a56-notes-eng.pdf,PDF,Formfinder,Adoption,20,19,a56,N/A,#VALUE!,1,0,0,0,Yes,0
464,A57,Cais am orchymyn dychwelyd plentyn (Adran 41 Deddf Mabwysiadu a Phlant 2002) / Application for a recovery order (Section 41 Adoption and Children Act 2002),HMCTS,Form,Welsh,11/2016,a57-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,a65,771,3,1,1,1,0,Yes,1
808,A57,Application for a Recovery Order (Section 41 Adoption and Children Act 2002),HMCTS,Form,English,11/2016,a57-eng.pdf,PDF,Formfinder,Adoption,58,56,none detected,257,1,0,1,1,0,Yes,1
160,A57 Nodiadau | A57 Notes,Cais am orchymyn adfer (Ffur en A57) Nodiadau ar lenwi'r ffur en | Application for a recovery order (Form A57). Notes on completing the form,HMCTS,Notes,Welsh,11/2016,a57-nodiadau-a57-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,"c(""a57 notes"", ""a57"", ""a65"")",N/A,#VALUE!,4,0,0,0,No,0
465,A57 Notes,Application for a Recovery Order (Form A57). Notes on completing the form,HMCTS,Notes,English,11/2016,a57-notes-eng.pdf,PDF,Formfinder,Adoption,20,20,a57,N/A,#VALUE!,1,1,0,0,No,0
205,A58,Cais am orchymyn mabwysiadu (Adran 46 Deddf Mabwysiadu a Phlant 2002) / Application for an adoption order (Section 46 Adoption and Children Act 2002),HMCTS,Form,Welsh,11/2016,a58-bil.pdf,PDF,Formfinder,Adoption,4,4,"c(""a59"", ""a60"", ""ex160a"")",1719,6,3,4,1,0,Yes,1
204,A58,Application for an Adoption Order (Section 46 Adoption and Children Act 2002),HMCTS,Form,English,07/2017,a58-eng.pdf,PDF,Formfinder,Adoption,8009,7095,"c(""ex160"", ""a59"", ""a60"")",2715,9,3,4,1,1,Yes,1
121,A58 Nodiadau / A58 Notes,"Cais am orchymyn mabwysiadu (Ffur en A58), nodiadau ar lenwi'r ffur en / Application for an adoption order (Form A58). Notes on completing the form",HMCTS,Notes,Welsh,11/2016,a58-nodiadau-a58-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,"c(""a58 notes"", ""a59"", ""a58"", ""a60"")",N/A,#VALUE!,5,0,1,0,Yes,0
122,A58 Notes,Application for an Adoption Order (Form A58) - Notes on completing the form,HMCTS,Notes,English,07/2017,a58-notes-eng.pdf,PDF,Formfinder,Adoption,3710,3419,"c(""ex160"", ""ex50"", ""a59"", ""a58"", ""a60"")",N/A,#VALUE!,5,1,1,0,Yes,0
809,A59,Cais am orchymyn mabwysiadu dan y Cytundeb (Adran 46 Deddf Mabwysiadu a Phlant 2002) / Application for a Convention adoption order (Section 46 Adoption and Children Act 2002),HMCTS,Form,Welsh,11/2016,a59-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,1193,4,0,8,1,0,Yes,1
466,A59,Application for a Convention Adoption Order (Section 46 Adoption and Children Act 2002),HMCTS,Form,English,11/2016,a59-eng.pdf,PDF,Formfinder,Adoption,62,54,a61,1990,7,1,8,1,0,Yes,1
314,A59 Nodiadau / A59 Notes,Cais am orchymyn mabwysiadu dan y Cytundeb (Ffur en A59). Nodiadau ar lenwi'r ffur en / Application for a Convention adoption order (Form A59). Notes on completing the form,HMCTS,Notes,Welsh,11/2016,a59-nodiadau-a59-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,"c(""a59"", ""a61"")",N/A,#VALUE!,2,0,0,0,Yes,0
315,A59 Notes,Application for a Convention Adoption Order (Form A59). Notes on completing the form,HMCTS,Notes,English,11/2016,a59-notes-eng.pdf,PDF,Formfinder,Adoption,28,25,"c(""a59"", ""a61"")",N/A,#VALUE!,2,0,0,0,Yes,0
316,A60,Cais am orchymyn mabwysiadu (ac eithrio gorchymyn mabwysiadu dan y Cytundeb) / Application for an adoption order (excluding a Convention adoption order),HMCTS,Form,Welsh,11/2016,a60-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,"c(""a61"", ""ex160a"")",4530,14,2,3,1,0,Yes,1
467,A60,Application for an Adoption Order (excluding a Convention adoption order) where the child is habitually resident outside the British islands and is brought into the United Kingdom for the purposes of adoption (Section 46 Adoption and Children Act 2002),HMCTS,Form,English,11/2016,a60-eng.pdf,PDF,Formfinder,Adoption,73,58,a61,2198,7,1,3,1,0,Yes,1
206,A60 Nodiadau / A60 Notes,Cais am orchymyn mabwysiadu (ac eithrio gorchymyn mabwysiadu dan y Cytundeb) (Ffur en A60). Nodiadau ar lenwi'r ffur en / Application for an adoption order (excluding a Convention adoption order) (Form A60). Notes on completing the form,HMCTS,Notes,Welsh,11/2016,a60-nodiadau-a60-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,"c(""a60"", ""a60 notes"")",N/A,#VALUE!,3,0,0,0,Yes,0
468,A60 Notes,Application for an Adoption Order (excluding a Convention adoption order) where the child is habitually resident outside the British islands and is brought into the United Kingdom for the purposes of adoption (Form A60). Notes on completing the form,HMCTS,Notes,English,11/2016,a60-notes-eng.pdf,PDF,Formfinder,Adoption,41,36,a60,N/A,#VALUE!,1,1,0,0,No,0
811,A61,Cais am orchymyn cyfrifoldeb rhiant cyn mabwysiadu dramor (Adran 84 Deddf Mabwysiadu a Phlant 2002) / Application for an order for parental responsibility prior to adoption abroad (Section 84 Adoption and Children Act 2002),HMCTS,Form,Welsh,11/2016,a61-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,1744,6,0,1,1,0,Yes,1
810,A61,Application for an order for parental responsibility prior to adoption abroad (Section 84 Adoption and Children Act 2002),HMCTS,Form,English,11/2016,a61-eng.pdf,PDF,Formfinder,Adoption,40,38,none detected,1488,5,0,1,1,0,Yes,1
207,A61 Nodiadau / A61 Notes,Cais am orchymyn cyfrifoldeb rhiant cyn mabwysiadu dramor (Ffur en A61). Nodiadau ar lenwi'r ffur en / Application for an order for parental responsibilty prior to adoption abroad (Form A61). Notes on completing the form,HMCTS,Notes,Welsh,11/2016,a61-nodiadau-a61-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,"c(""a61 notes"", ""a61"")",N/A,#VALUE!,3,0,1,0,Yes,0
469,A61 Notes,Application for an Order for parental responsibilty prior to adoption abroad (Form A61). Notes on completing the form,HMCTS,Notes,English,11/2016,a61-notes-eng.pdf,PDF,Formfinder,Adoption,6,6,a61,N/A,#VALUE!,1,1,0,0,Yes,0
813,A62,Cais am gyfarwyddyd dan adran 88(1) Deddf Mabwysiadu a Phlant 2002 / Application for a direction under section 88(1) of the Adoption and Children Act 2002,HMCTS,Form,Welsh,04/2011,a62-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,373,2,0,0,0,0,Yes,1
812,A62,Application for a direction under section 88(1) of the Adoption and Children Act 2002,HMCTS,Form,English,11/2014,a62-eng.pdf,PDF,Formfinder,Adoption,35,28,none detected,159,1,0,0,0,0,Yes,1
814,A62 Nodiadau / A62 Notes,Cais am gyfarwyddyd dan adran 88(1) Deddf Mabwysiadu a Phlant 2002 (Ffurflen A62)Nodiadau ar lenwi'r ffurflen / Application for a direction under section 88(1) of the Adoption and Children Act 2002 (Form A62) Notes on completing the form,HMCTS,Notes,Welsh,12/2005,a62-nodiadau-a62-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,N/A,#VALUE!,0,0,0,0,No,0
470,A62 Notes,Application for a Direction under Section 88(1) of the Adoption and Children Act 2002 (Form A62) ? Notes on Completing the Form,HMCTS,Notes,English,04/2014,a62-notes-eng.pdf,PDF,Formfinder,Adoption,18,16,a62,N/A,#VALUE!,1,0,0,0,Yes,0
816,A63,Cais am orchymyn i ddirymu mabwysiad dan y Cytundeb neu orchymyn mabwysiadu dan y Cytundeb neu i fabwysiad tramor neu benderfyniad dan adran 91 beidio a bod yn ddilys Adran 89 Deddf Mabwysiadu a Phlant 2002 / Application for an order to annul a Convention adoption or Convention adoption order or for an overseas adoption or determination under section 91 to cease to be valid Section 89 Adoption and Children Act 2002,HMCTS,Form,Welsh,04/2011,a63-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,1542,5,0,1,1,0,Yes,1
815,A63,Application for an order to annul a Convention adoption or Convention adoption order or for an overseas adoption or determination under section 91 to cease to be valid. Section 89 Adoption and Children Act 2002,HMCTS,Form,English,11/2014,a63-eng.pdf,PDF,Formfinder,Adoption,15,14,none detected,263,1,0,1,1,0,Yes,1
817,A63 Nodiadau / A63 Notes,Cais am orchymyn i ddirymu mabwysiad dan y Cytundeb neu orchymyn mabwysiadu dan y Cytundeb neu i fabwysiad tramor neu benderfyniad dan adran 91 beidio â bod yn ddilys (Ffurflen A63) / Application for an order to annul a Convention adoption or Convention adoption order or for an overseas adoption or determination under section 91 to cease to be valid (Form A63),HMCTS,Notes,Welsh,12/2005,a63-nodiadau-a63-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,N/A,#VALUE!,0,0,0,0,No,0
317,A63 Notes,Application for an Order to Annul a Convention Adoption or Convention Adoption Order or for an Overseas Adoption or Determination Under Section 91 to Cease to be Valid (Form A63) - Notes on Completing the Form,HMCTS,Notes,English,04/2014,a63-notes-eng.pdf,PDF,Formfinder,Adoption,8,8,"c(""ex50"", ""a63"")",N/A,#VALUE!,2,0,0,0,Yes,0
819,A64,Cais i dderbyn gwybodaeth o gofnodion y llys Adran 60(4) Deddf Mabwysiadu a Phlant 2002 / Application to receive information from court records Section 60(4) Adoption and Children Act 2002,HMCTS,Form,Welsh,12/2005,a64-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,0,0,0,0,0,0,Yes,0
818,A64,Application to receive information from court records Section 60(4) Adoption and Children Act 2002,HMCTS,Form,English,11/2014,a64-eng.pdf,PDF,Formfinder,Adoption,106,76,none detected,311,1,0,0,1,0,Yes,0
821,A64A,Cais i dderbyn gwybodaeth o gofnodion y llys am orchymyn rhieni / Application to receive information from court records about a parental order,HMCTS,Form,Welsh,04/2010,a64a-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,845,3,0,0,1,0,Yes,0
820,A64A,Application to receive information from court records about a parental order,HMCTS,Form,English,11/2014,a64a-eng.pdf,PDF,Formfinder,Adoption,17,17,none detected,435,2,0,0,1,0,Yes,0
823,A65,Gwybodaeth gyfrinachol / Confidential information,HMCTS,Form,Welsh,12/2005,a65-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none detected,0,0,0,1,0,0,No,0
822,A65,Confidential information,HMCTS,Form,English,12/2005,a65-eng.pdf,PDF,Formfinder,Adoption,121,106,none detected,142,1,0,1,0,0,No,0
