file,short_text
t005-eng.txt," this application relates and any other supporting documents, to: first-tier tribunal (cha"
t006-eng.txt," this application relates and any other supporting documents, to:first-tier tribunal (char"
t108a-eng.txt,ion b: the original decision letter and supporting documents; section c: the respondents w
t12-eng.txt," this application relates and any other supporting documents, to: general regulatory chamb"
t211-bil.txt, 5 adran 5 dogfennau ategol section 5 - supporting documents rhaid ichi anfon y rhybudd ap
t240-eng.txt, (not both) this completed form and any supporting documents to: email: taxappeals@hmcts.g
t245-eng.txt, (not both) this completed form and any supporting documents to: email: taxappeals@hmcts.g
t440-eng.txt," notice of appeal submitted without the supporting documentation, or a written explanation"
t440-eng.txt,"ete and/or received without the correct supporting documentation, it will be considered no"
t450-eng.txt,"d the form, it should be sent, with all supporting documentation to: grp po box 9300 leice"
t453-eng.txt,"d the form, it should be sent, with all supporting documentation to:grp po box 9300 you ar"
t464-eng.txt,"d the form, it should be sent, with all supporting documentation to:grp po box 9300 leices"
t470-eng.txt,NA
t470-eng.txt,nt by email and it is necessary to send supporting documents in hard copy form they should
t470-eng.txt,py of the glaas reply together with any supporting documents. you will be asked at this st
t480-eng.txt,ed attached included attached section 9 supporting documents included attached included at
t481-notes-eng.txt,ing in support of your claim. section 9 supporting documents if you have not been able to 
t495-eng.txt,ch you should include when sending your supporting documents to hm courts & tribunals serv
t495-eng.txt,"ne, send in any additional evidence and supporting documents as soon as possible). if you "
t608-eng.txt,NA
t614-eng.txt,"e application for permission to appeal, supporting documents and the application fee to th"
t615-eng.txt,"etes and returns notice of appeal form, supporting documents, statement of case and the lo"
t616-eng.txt,"pies of the notice of reference and the supporting documents, including a statement of cas"
t617-eng.txt,"he applicant sends the application, its supporting documents and the lodging fee to the tr"
t622-eng.txt,variation request (07.15) page 2 of 2 9 supporting documentation for variation. alternativ
t97-eng.txt,NA
t98-eng_doc.txt,oon as the hearing date has been set. 8 supporting document please list any documents that
