Unique Form ID (MOJ DIGITAL),Form Reference,Form Title,Agency/Organisation,Form/Guidance/Other,Language,Doc Date,File Name,File Type,Location,Formfinder category,Downloads,Unique Downloads,References,Word Count,Approximate number of pages,Count of references,Number of times that this form is referenced within other forms,Signature,Payment,Attachment,Owner,Processor,End User,Multiple Users on same form,Fields,Internal Logic,Dependencies
1420,N163,Skeleton arguments,HMCTS,Form,English,04/2000,n163-eng.pdf,PDF,Formfinder,County Court,314,278,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1485,N253,Notice of Amount allowed on provisional assessment (Legal Aid only),HMCTS,Form,English,07/2000,n253-eng.pdf,PDF,Formfinder,County Court,65,52,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1489,N254,Cais am Dystysgrif Costau Diffygdalu / Request for a Default Costs Certificate,HMCTS,Form,Welsh,07/2002,n254-bil.pdf,PDF,Formfinder,County Court,#N/A,#N/A,no data,#N/A,#N/A,0,1,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1512,N266,Rhybudd i gydnabod ffeithiau / Notice to admit facts,HMCTS,Form,Welsh,04/1999,n266-bil.pdf,PDF,Formfinder,County Court,#N/A,#N/A,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1590,N54A,Notice of further attempt at eviction (Specimen form),HMCTS,Form,English,08/2015,n54a-eng.pdf,PDF,Formfinder,Housing,509,465,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1622,No.100,Notice of Bail (sched.1- RSC O.79 r.9(7)),HMCTS,Form,English,04/2005,no.100-eng.doc,DOC,Formfinder,Queen's Bench,16,14,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1623,No.109,Order for reference to the European Court (Sched 1- RSC O.114 r.2),HMCTS,Form,English,04/2005,no.109-eng.doc,DOC,Formfinder,Queen's Bench,12,7,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1624,No.32,Order for examination within jurisdiction of witness before trial or hearing (rule 34.8),HMCTS,Form,English,04/2016,no.32-eng.doc,DOC,Formfinder,Queen's Bench,7,7,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1625,No.33,Application for an order for the issue of a letter of request to judicial authorities out of the jurisdiction (rule 34.13 and PD34A para 5),HMCTS,Form,English,04/2016,no.33-eng.doc,DOC,Formfinder,Queen's Bench,5,4,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1626,No.34,Order for the issue of a letter of request to judicial authorities out of the jurisdiction (rule 34.13),HMCTS,Form,English,04/2016,no.34-eng.doc,DOC,Formfinder,Queen's Bench,6,4,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1627,No.35,Draft Letter of request for examination of witness out of jurisdiction (to be filed by a party under rule 34.13(6)),HMCTS,Form,English,04/2016,no.35-eng.doc,DOC,Formfinder,Queen's Bench,5,4,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1628,No.37,Order for appointment of special examiner to take evidence of witness out of jurisdiction (rule 34.13(4) and PD34A para 5.8),HMCTS,Form,English,04/2016,no.37-eng.doc,DOC,Formfinder,Queen's Bench,6,5,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1629,No.41,Default judgment upon request in claim relating to detention of goods (rule 12.4(1)(c)),HMCTS,Form,English,04/2016,no.41-eng.doc,DOC,Formfinder,Queen's Bench,13,11,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1630,No.42,Default judgment in claim for possession of land (rule 12.4(2)(a)),HMCTS,Form,English,04/2005,no.42-eng.doc,DOC,Formfinder,Queen's Bench,29,19,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1631,No.42A,Order for possession (sched.1- RSC O.113),HMCTS,Form,English,04/2005,no.42a-eng.doc,DOC,Formfinder,Queen's Bench,92,62,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1632,No.44,Part 24 - Judgment for claimant,HMCTS,Form,English,04/2016,no.44-eng.doc,DOC,Formfinder,Queen's Bench,41,29,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1633,No.44A,Part 24 - Judgment for defendant,HMCTS,Form,English,04/2016,no.44a-eng.doc,DOC,Formfinder,Queen's Bench,27,22,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1634,No.44B,Order under refusing judgment under Part 24 and giving directions as to the future conduct of the case,HMCTS,Form,English,04/2016,no.44b-eng.doc,DOC,Formfinder,Queen's Bench,3,3,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1635,No.44C,Order under Part 24 imposing condition of payment into court (rule 3.1(3) and PD 24 paras 5.1 and 5.2),HMCTS,Form,English,04/2016,no.44c-eng.doc,DOC,Formfinder,Queen's Bench,3,3,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1636,No.44D,Order under Part 24 for detailed assessment of solicitor's bill of costs and for judgment on the amount found due thereunder,HMCTS,Form,English,04/2016,no.44d-eng.doc,DOC,Formfinder,Queen's Bench,12,10,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1637,No.45,Judgment after trial before Judge without jury (Practice Direction 40B para 14.1(1)),HMCTS,Form,English,04/2016,no.45-eng.doc,DOC,Formfinder,Queen's Bench,20,18,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1638,No.46,Judgment after trial before Judge with jury (Practice Direction 40B para 14.1(2)),HMCTS,Form,English,04/2016,no.46-eng.doc,DOC,Formfinder,Queen's Bench,3,3,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1639,No.47,Judgment after trial before a Master or District Judge (PD40B para 14),HMCTS,Form,English,04/2016,no.47-eng.doc,DOC,Formfinder,Queen's Bench,13,8,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1640,No.48,Order after separate trial of issue under rule 3.1(2)(i),HMCTS,Form,English,04/2016,no.48-eng.doc,DOC,Formfinder,Queen's Bench,2,2,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1641,No.49,Judgment against personal representative (PD40B para 14.3),HMCTS,Form,English,04/2016,no.49-eng.doc,DOC,Formfinder,Queen's Bench,2,2,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1642,No.52,Notice of claim to non-parties (CPR 19.8A(4)(a)(i)),HMCTS,Form,English,04/2016,no.52-eng.doc,DOC,Formfinder,Queen's Bench,42,34,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1643,No.52A,Notice of Judgment or Order to non-parties (CPR 19.8(4)(a)(i)),HMCTS,Form,English,04/2016,no.52a-eng.doc,DOC,Formfinder,Queen's Bench,12,11,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1644,No.53,Writ of Control,HMCTS,Form,English,04/2014,no.53-eng.doc,DOC,Formfinder,Queen's Bench,1032,645,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1645,No.54,Writ of Control on order for costs,HMCTS,Form,English,04/2014,no.54-eng.doc,DOC,Formfinder,Queen's Bench,72,58,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1646,No.56,Writ of Control (For part),HMCTS,Form,English,04/2014,no.56-eng.doc,DOC,Formfinder,Queen's Bench,9,8,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1647,No.57,Writ of Control against personal representative,HMCTS,Form,English,04/2014,no.57-eng.doc,DOC,Formfinder,Queen's Bench,7,7,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1648,No.58,Writ of Fieri Facias de Bonis Ecclesiasticis (sched.1- RSC O.45 r.12),HMCTS,Form,English,04/2005,no.58-eng.doc,DOC,Formfinder,Queen's Bench,14,10,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1649,No.59,Writ of Sequestrari de Bonis Ecclesiasticis (sched.1- RSC O.45 r.12),HMCTS,Form,English,04/2005,no.59-eng.doc,DOC,Formfinder,Queen's Bench,2,2,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1650,No.62,Writ of Fieri Facias to enforce Northern Irish or Scottish judgment,HMCTS,Form,English,04/2004,no.62-eng.doc,DOC,Formfinder,Queen's Bench,39,28,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1651,No.63,Writ of Control to enforce foreign registered judgment,HMCTS,Form,English,04/2014,no.63-eng.doc,DOC,Formfinder,Queen's Bench,21,16,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1652,No.64,"Writ of Delivery: delivery of goods, damages and costs",HMCTS,Form,English,04/2014,no.64-eng.doc,DOC,Formfinder,Queen's Bench,21,17,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1653,No.65,Writ of Delivery: delivery of goods or value damages and costs,HMCTS,Form,English,04/2004,no.65-eng.doc,DOC,Formfinder,Queen's Bench,6,6,no data,#N/A,#N/A,0,1,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1654,No.66,Combined Writ of Possession and Control,HMCTS,Form,English,04/2014,no.66-eng.doc,DOC,Formfinder,Queen's Bench,258,211,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1655,No.66a,Combined Writ of Possession and Control for costs of action,HMCTS,Form,English,04/2014,no.66a-eng.doc,DOC,Formfinder,Queen's Bench,57,51,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1656,No.67,Writ of sequestration (rule 81.20(1) and rule 81.27),HMCTS,Form,English,04/2016,no.67-eng.doc,DOC,Formfinder,Queen's Bench,21,21,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1657,No.68,Writ of restitution,HMCTS,Form,English,04/2004,no.68-eng.doc,DOC,Formfinder,Queen's Bench,49,36,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1658,No.69,Writ of Assistance,HMCTS,Form,English,04/2004,no.69-eng.doc,DOC,Formfinder,Queen's Bench,21,17,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1659,No.71,Notice of extension of Writ of Control,HMCTS,Form,English,04/2014,no.71-eng.doc,DOC,Formfinder,Queen's Bench,9,9,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1660,No.75,"Charging Order to show cause (sched. 1- RSC O.50 rr.1,2 and 4)",HMCTS,Form,English,04/2005,no.75-eng.doc,DOC,Formfinder,Queen's Bench,12,6,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1661,No.76,Charging Order absolute (sched. 1- RSC O.50 rr.3 and 4),HMCTS,Form,English,04/2005,no.76-eng.doc,DOC,Formfinder,Queen's Bench,6,5,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1662,No.79,Stop order on capital and income of funds in court (sched. 1- RSC O.50 r.10),HMCTS,Form,English,04/2005,no.79-eng.doc,DOC,Formfinder,Queen's Bench,11,9,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1663,No.80,Affidavit / witness statement And stop notice (sched 1- RSC O.50 r.11),HMCTS,Form,English,04/2005,no.80-eng.doc,DOC,Formfinder,Queen's Bench,67,55,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1664,No.81,Order on claim to restrain transfer of stock (sched 1- RSC O.50 r.15),HMCTS,Form,English,04/2005,no.81-eng.doc,DOC,Formfinder,Queen's Bench,1,1,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1665,No.82,Application for appointment of a receiver (sched. 1- RSC O.51 r.3),HMCTS,Form,English,09/2000,no.82-eng.pdf,PDF,Formfinder,Queen's Bench,#N/A,#N/A,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1666,No.83,Order directing application for appointment of receiver and granting injunction meanwhile (sched. 1- RSC O.51 r.3),HMCTS,Form,English,04/2005,no.83-eng.doc,DOC,Formfinder,Queen's Bench,32,19,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1667,No.84,Order appointing receiver by way of equitable execution (Supreme Court Act 1981 s.37; sched. 1- RSC O.51),HMCTS,Form,English,04/2005,no.84-eng.doc,DOC,Formfinder,Queen's Bench,7,3,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1668,No.85,Order of committal or other penalty upon finding of contempt of court (sched. 1- RSC O.52),HMCTS,Form,English,04/2005,no.85-eng.doc,DOC,Formfinder,Queen's Bench,158,97,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1669,No.93,Order under the evidence (Proceedings in other jurisdictions) Act 1975 (sched. 1- RSC O.70 r.1),HMCTS,Form,English,04/2005,no.93-eng.doc,DOC,Formfinder,Queen's Bench,10,9,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1670,No.94,Order for production of documents in marine insurance claim (Part 49D PD para. 7),HMCTS,Form,English,04/2005,no.94-eng.doc,DOC,Formfinder,Queen's Bench,3,1,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1671,No.95,Certificate of Order against the Crown (sched. 1- RSC O.77 r.15 and s.25 of the Crown Proceedings Act 1947),HMCTS,Form,English,04/2005,no.95-eng.doc,DOC,Formfinder,Queen's Bench,12,4,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1672,No.96,Certificate of Order for costs against the Crown (sched. 1- RSC O.77 r.15 and s.25 of the Crown Proceedings Act 1947),HMCTS,Form,English,04/2005,no.96-eng.doc,DOC,Formfinder,Queen's Bench,4,4,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1673,No.97,Claim form to grant bail (criminal proceedings) (sched.1- RSC O.79 r.9(1)),HMCTS,Form,English,09/2000,no.97-eng.pdf,PDF,Formfinder,Queen's Bench,9,9,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1674,No.97A,Claim form to vary arrangements for bail (criminal proceedings) (sched.1- RSC O.79 r.9(1)),HMCTS,Form,English,04/2005,no.97a-eng.doc,DOC,Formfinder,Queen's Bench,11,9,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1675,No.98,Order to release prisoner on bail (sched.1- RSC O.79 r.9(6) (6A) and (6B)),HMCTS,Form,English,04/2005,no.98-eng.doc,DOC,Formfinder,Queen's Bench,9,6,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1676,No.98A,Order varying arrangements for bail (sched.1- RSC O.79 r.9(10)),HMCTS,Form,English,04/2005,no.98a-eng.doc,DOC,Formfinder,Queen's Bench,13,10,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1677,No.99,Order of Court of Appeal to admit prisoner to bail (sched. 1- RSC O.59 r.20(5)),HMCTS,Form,English,04/2005,no.99-eng.doc,DOC,Formfinder,Queen's Bench,1,1,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1799,Precedent H and R,Costs budget (Precedent H) and budget discussion report (Precedent R),HMCTS,Form,English,04/2017,precedent-h-and-r-eng.xls,XLS,Formfinder,County Court,1334,929,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1801,QBD OHA,Out of hours application (Queen's Bench Division),HMCTS,Form,English,05/2017,qbd-oha-eng.docx,DOC,Formfinder,Queen's Bench,221,174,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1904,T210,Appeal form,HMCTS,Form,English,07/2015,t210-eng.doc,DOC,Formfinder,Criminal Injuries Compensation,573,438,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1993,Undertaking to Issue Form,Request for an Urgent Application,HMCTS,Form,English,04/2014,undertaking-to-issue-form-eng.doc,DOC,Formfinder,Royal Courts of Justice,264,212,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
2020,You have to go to court,You have to go to court - What do you do? (Arabic),HMCTS,Form,Arabic,06/2009,you-have-to-go-to-court-ara.pdf,PDF,Formfinder,Criminal,#N/A,#N/A,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
2021,You have to go to court,You have to go to court - What do you do? (Bengali),HMCTS,Form,Bengali,06/2009,you-have-to-go-to-court-ben.pdf,PDF,Formfinder,Criminal,#N/A,#N/A,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
2022,You have to go to court,You have to go to court - What do you do? (Simplified Chinese),HMCTS,Form,Chinese (simplfied),06/2009,you-have-to-go-to-court-zho.pdf,PDF,Formfinder,Criminal,#N/A,#N/A,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
2023,You have to go to court,You have to go to court - What do you do? (Traditional Chinese),HMCTS,Form,Chinese (traditional),06/2009,you-have-to-go-to-court-chi.pdf,PDF,Formfinder,Criminal,#N/A,#N/A,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
2024,You have to go to court,You have to go to court - What do you do?,HMCTS,Form,English,06/2009,you-have-to-go-to-court-eng.pdf,PDF,Formfinder,Criminal,86,75,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
2025,You have to go to court,You have to go to court - What do you do? (Gujarati),HMCTS,Form,Gujarati,06/2009,you-have-to-go-to-court-guj.pdf,PDF,Formfinder,Criminal,#N/A,#N/A,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
2026,You have to go to court,You have to go to court - What do you do? (Polish),HMCTS,Form,Polish,06/2009,you-have-to-go-to-court-pol.pdf,PDF,Formfinder,Criminal,#N/A,#N/A,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
2027,You have to go to court,You have to go to court - What do you do? (Punjabi),HMCTS,Form,Punjabi,06/2009,you-have-to-go-to-court-pun.pdf,PDF,Formfinder,Criminal,#N/A,#N/A,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
2028,You have to go to court,You have to go to court - What do you do? (Somali),HMCTS,Form,Somali,06/2009,you-have-to-go-to-court-som.pdf,PDF,Formfinder,Criminal,#N/A,#N/A,no data,#N/A,#N/A,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
2041,469507,Election petition template,HMCTS,Form,English,NA,election-petition-template.docx,ZIP,GOV.UK,NA,252,NA,NA,#N/A,#N/A,NA,NA,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1,COP42,Making an application to the Court of Protection,HMCTS,Leaflet,English,12/2013,cop42-eng.pdf,PDF,Formfinder,Fees and Help with Fees,97,90,"cop44, cop35, cop37, cop36, cop28, cop24, cop20b, cop21b, cop21a, cop20a, cop15a, cop14, cop15, cop14a, cop10, cop7, cop8, cop9, cop5, cop4, cop3, cop2, cop1b, cop1a, cop1, cop-gn4, cop-gn7, cop-gn8, cop-gn5, cop-gn6, cop-gn1, cop-gn2, cop-gn3",N/A,#VALUE!,33,2,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
2,COP42,Gwneud cais i'r Llys Gwarchod,HMCTS,Leaflet,Welsh,12/2013,cop42-cym.pdf,PDF,Formfinder,Ffioedd a help gyda ffioedd,#N/A,#N/A,"cop44, cop35, cop37, cop36, cop28, cop24, cop20b, cop21b, cop21a, cop20a, cop15a, cop14, cop15, cop14a, cop10, cop7, cop8, cop9, cop5, cop4, cop3, cop2, cop1b, cop1a, cop1, cop-gn4, cop-gn7, cop-gn8, cop-gn5, cop-gn6, cop-gn1, cop-gn3",N/A,#VALUE!,32,2,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
3,Getting the best out of the court system,Getting the best out of the court system. Information for local authorities and other social landlords,HMCTS,Leaflet,English,08/2003,getting-the-best-out-of-the-court-system-eng.pdf,PDF,Formfinder,County Court,4,4,"n325, n293a, n244, n215, n143, n142, n119, n119a, n121, n16a, n11r, n11, form-a, n16, form a, n49, n54, n146, n147, n148, n206b, ex96",N/A,#VALUE!,22,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
5,COP GN4,Gwneud cais lles personol i'r Llys Gwarchod,HMCTS,Leaflet,Welsh,08/2013,cop-gn4-cym.pdf,PDF,Formfinder,Llys Gwarchod,#N/A,#N/A,"cop44, cop42, cop35, cop28, cop24, cop20b, cop20a, cop14, cop15, cop10, cop9, cop5, cop3, cop2, cop1",N/A,#VALUE!,15,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
6,MCOL Guide,Money Claim Online (MCOL) - User guide for claimants,HMCTS,Leaflet,English,08/2017,mcol-guide-eng.pdf,PDF,Formfinder,County Court Business Centre,373,341,"n279, n244, n225a, n225, n215, ex350, ex345, ex322, ex321, ex306, ex304, ex305, ex301, ex160a, ex50",N/A,#VALUE!,15,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
7,COP GN4,Making a personal welfare application to the Court of Protection,HMCTS,Leaflet,English,09/2015,cop-gn4-eng.pdf,PDF,Formfinder,Court of Protection,178,169,"cop44, cop35, cop28, cop24, cop20b, cop20a, cop14, cop15, cop10, cop9, cop5, cop3, cop1b, cop1",N/A,#VALUE!,14,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
8,PA10,Sut i gychwyn chwiliad sefydlog. Arweiniad i bobl sydd eisiau gwybod am ystad rhywun sydd wedi marw'n ddiweddar.,HMCTS,Guidance,Welsh,02/2012,pa10-cym.pdf,PDF,Formfinder,Profiant,#N/A,#N/A,"pa9, pa8a, pa8, pa7a, pa3, pa5, pa4, pa7, pa6, pa2, pa1, pa1s, pa1a, pa1t",N/A,#VALUE!,14,9,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
9,PA5,A oes angen grant cynrychiolaeth arnaf (profiant neu lythyrau gweinyddu)? Arweiniad i bobl sy'n delio a'r ystad pan fo rhywun wedi marw'n ddiweddar.,HMCTS,Guidance,Welsh,04/2011,pa5-cym.pdf,PDF,Formfinder,Profiant,#N/A,#N/A,"pa9, pa10, pa8a, pa8, pa7a, pa3, pa4, pa7, pa6, pa2, pa1, pa1s, pa1a",N/A,#VALUE!,13,6,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
10,PA7,Sut i adneuo ewyllys gyda'r Gwasanaeth Profiant. Arweiniad i bobl sydd am adneuo ewyllys i fod dan ofal sicr.,HMCTS,Guidance,Welsh,04/2011,pa7-cym.pdf,PDF,Formfinder,Profiant,1,1,"pa9, pa10, pa8a, pa8, pa7a, pa3, pa5, pa4, pa6, pa2, pa1, pa1s, pa1a",N/A,#VALUE!,13,9,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
