file,required,short_text,automated_validation
a55-notes-eng.txt,T,to change a childs surname. if you are attaching any order of the high court or the f,NA
a56-bil.txt,T,lacement order (please give details and attach a copy of the placement order)name of c,TRUE
a56-eng.txt,T,lacement order (please give details and attach a copy of the placement order)see note,TRUE
a56-nodiadau-a56-notes-bil.txt,T,ild from the united kingdom. if you are attaching any order of the high court or the f,NA
a56-notes-eng.txt,T,ild from the united kingdom. if you are attaching any order of the high court or the f,NA
a57-bil.txt,T,ourt or family court court). if you are attaching an order made by a requests or court,NA
a58-bil.txt,T,ical practitioner on (give date(s)) are attached to this application.declarationsin re,NA
a58-bil.txt,T,are sending to explain the difference. attach two photocopies of each of the followin,NA
a58-eng.txt,T,s born on and is the person to whom the attached of live births/register of adopted ch,NA
a58-eng.txt,T,lfare of the child requires it.you must attach a brief statement of facts (and two cop,TRUE
a58-eng.txt,T,ary evidence to explain the difference. attach two photocopies of each of the followin,NA
a58-nodiadau-a58-notes-bil.txt,T,the register of live births.if you are attaching any order of the high court or famil,NA
a58-notes-eng.txt,T,vention adoption order). fullif you are attaching any order of the high court or famil,NA
a59-eng.txt,T,s born on and is the person to whom the attached regarding the childs identity relates,NA
a59-nodiadau-a59-notes-bil.txt,T,m is the state of origin the if you are attaching any order of the high court or the f,NA
a59-notes-eng.txt,T,r of marriages or the births.if you are attaching any order of the high court or the f,NA
a60-bil.txt,T,as born onand is the person to whom the attached of live births/register of adopted ch,NA
a60-bil.txt,T,lfare of the child requires it.you must attach a brief statement of facts (and two cop,TRUE
a60-bil.txt,T,ary evidence to explain the difference. attach two photocopies of each of the followin,NA
a60-eng.txt,T,s born on and is the person to whom the attached of live births/register of adopted ch,NA
a60-eng.txt,T,lfare of the child requires it.you must attach a brief statement of facts (and two cop,TRUE
a60-eng.txt,T,ary evidence to explain the difference. attach two photocopies of each of the followin,NA
a60-nodiadau-a60-notes-bil.txt,T,or ^ ^ ^ ^^^ civil partner. you should attach to your application any part 2 about th,TRUE
a61-bil.txt,T,lfare of the child requires it.you must attach a brief statement of facts (and two of,TRUE
a61-eng.txt,T,s born on and is the person to whom the attached of live births/register of adopted ch,NA
a61-eng.txt,T,lfare of the child requires it.you must attach a brief statement of facts (and two cop,TRUE
a61-nodiadau-a61-notes-bil.txt,T,the register of live births.if you are attaching any order of the high court or famil,NA
a61-notes-eng.txt,T,islands or the isle of man. if you are attaching any order of the high court or famil,NA
a62-bil.txt,T,on a copy of the convention adoption is attached see note 9see note 11 rhan 5 datgania,NA
a62-eng.txt,T,on a copy of the convention adoption is attached see note 9see note 11 see note 11 par,NA
a62-notes-eng.txt,T,"ion 67(3) does not apply, or if you are attaching any order of the high court or a fam",NA
a63-bil.txt,T,"y proceedings that have been completed, attach a copy of ) plentyn (e.e. chwaer, hanne",TRUE
a63-eng.txt,T,doption or convention adoption order is attached made on (date)ora copy of the oversea,NA
a63-notes-eng.txt,T,completing the formimportantif you are attaching any order of the high court or the f,NA
a64-eng.txt,F,er (this will not include the documents attached to that form)the adoption order or an,NA
a64a-bil.txt,F,er (this will not include the documents attached to that form) the parental order or a,NA
a64a-eng.txt,T,formation from court records you should attach a full certied copy of the entry in the,TRUE
adm1-eng.txt,F,of rm or company) particulars of claim (attached)(to follow) full name name of claiman,NA
adm16a-eng.txt,F,serve this form. see notes for guidance attached to the claim form. adm16a defence to,NA
adm1a-eng.txt,F,form *(and the particulars of the claim attached to this claim form) are true. * i am,NA
application-for-anonymity-notes-(iat)-eng.txt,F,e the box provided for this purpose and attach additional sheets should you need to. i,NA
application-for-anonymity-notes-(utiac)-eng.txt,F,e the box provided for this purpose and attach additional sheets should you need to. i,NA
attachment-of-earnings-orders-for-criminal-fines-national-pilot-april-2004-eng.txt,F,NA,NA
attachment-of-earnings-orders-for-criminal-fines-national-pilot-april-2004-eng.txt,F,measures; and a national pilot of wider attachment of earnings orders and deductions f,FALSE
attachment-of-earnings-orders-for-criminal-fines-national-pilot-april-2004-eng.txt,F,implementation as specified in the 1971 attachment of earnings act (see point 8 below,FALSE
b1-eng_doc.txt,T,"nal sheets of paper if you need to, and attach them to this form. in this box, give al",NA
c1-bil.txt,T,d whose name you have put in paragraph 2attach a copy of the relevant order and give:,TRUE
c1-eng.txt,T,whose name you have put in paragraph 2 attach a copy of the relevant order and give:,TRUE
c100-bil.txt,F,NA,NA
c100-bil.txt,T,"ass.gov.uk/parentingplan if yes, please attach the plan to this application form 3c. a",NA
c100-bil.txt,T,noplease tick if additional sheets are attached. please attach a copy of any relevant,TRUE
c100-bil.txt,T,an agreement (consent order) and if so attach the draft order to this form. tick whet,TRUE
c100-bil.txt,T,he box on page 3 to make this clear and attach the draft order with this c100 form. gw,TRUE
c100-eng.txt,F,NA,NA
c100-eng.txt,F,ed. if there is not enough space please attach separate sheets clearly showing the det,NA
c100-eng.txt,T,"ass.gov.uk/parentingplan if yes, please attach the plan to this application form 64. u",NA
c100-eng.txt,T,n) please tick if additional sheets are attached. please attach a copy of any relevant,TRUE
c100-eng.txt,T,an agreement (consent order) and if so attach the draft order to this form. tick whet,TRUE
c100-eng.txt,T,he box on page 1 to make this clear and attach the draft order with this c100 form. re,TRUE
c110-bil.txt,F,al work chronology (a succinct summary) attached to follow if to follow please give re,NA
c110-bil.txt,F,NA,NA
c110-bil.txt,F,NA,NA
c110-bil.txt,F,NA,NA
c110-bil.txt,F,NA,NA
c110-bil.txt,F,NA,NA
c110-bil.txt,T,mpleted this form ensure that you have: attached copies of any relevant documents. sig,NA
c110-eng.txt,F,e page 16annex1. social work chronology attached to follow (a succinct summary) if to,NA
c110-eng.txt,F,NA,NA
c110-eng.txt,F,NA,NA
c110-eng.txt,F,NA,NA
c110-eng.txt,F,NA,NA
c110-eng.txt,T,mpleted this form ensure that you have: attached copies of any relevant documents. sig,NA
c110a-eng.txt,F,nex documents 1. social work chronology attached to follow (a succinct summary) if to,NA
c110a-eng.txt,F,NA,NA
c110a-eng.txt,T,and on which the local authority relies attached to follow if to follow please give re,NA
c110a-eng.txt,F,NA,NA
c110a-eng.txt,T,mpleted this form ensure that you have: attached copies of any annex documents. signed,NA
c1a-bil.txt,T,e any copies of the above orders please attached them to this form.adran 2 - manylion,NA
c1a-bil.txt,T,(condential contact details) note: only attach this form if you want to withhold your,NA
c1a-bil.txt,F,NA,NA
c1a-eng.txt,T,e any copies of the above orders please attached them to this form do you have a solic,NA
c1a-eng.txt,T,(condential contact details) note: only attach this form if you want to withhold your,NA
c1a-eng.txt,F,NA,NA
c2-eng.txt,F,ed. if there is not enough space please attach separate sheets. cafcass/cafcass cymru,NA
c2-eng.txt,T,to issue an application check you have attached copies of the form c100 application a,NA
c20-eng.txt,F,NA,NA
c23-eng.txt,T,[a named person]][a power of arrest be attached to the exclusion requirement for a pe,NA
c5-bil.txt,T,"ts, state the date(s) and author(s) and attach a copy.3. sail y caisy sail yw bod plen",TRUE
c5-bil.txt,T,t provide a copy of the application and attached documents for each of the respondents,NA
c5-eng.txt,T,"ts, state the date(s) and author(s) and attach a copy. postcode3please list any docume",TRUE
c5-eng.txt,T,t provide a copy of the application and attached documents for each of the respondents,NA
c51-bil.txt,T,"have been completed/commenced (please, attach a copy of the nal order )hyd y gwyddoch",TRUE
c51-bil.txt,T,"eclaration we declare that certicate is attached, or certicate is attached, or relatio",NA
c51-eng.txt,T,"have been completed/commenced (please, attach a copy of the nal order )relationship t",TRUE
c63-bil.txt,T,"hood is in question. yes if yes, please attach a copy of any relevant order and give a",TRUE
c63-bil.txt,T,s nac oes16what to do nowcheck you have attached copies of any relevant orders (as per,NA
c63-eng.txt,T,"hood is in question. yes if yes, please attach a copy of any relevant order and give a",TRUE
c63-eng.txt,T,he page 11what to do now check you have attached copies of any relevant orders (as per,NA
c64-bil.txt,T,gofynion11what to do nowcheck you have attached a certied copy of your birth certicat,NA
c64-eng.txt,T,the page 8what to do now check you have attached a certied copy of your birth certicat,NA
c65-bil.txt,T,provide a copy of this application and attached documents for each of the respondents,NA
c65-eng.txt,T,provide a copy of this application and attached documents for each of the respondents,NA
c66-bil.txt,T,"ddalenni ychwanegol.yes if yes, please attach a copy of any relevant orderdetails bel",TRUE
c66-eng.txt,T,noplease tick if additional sheets are attached.9 if there are more than 2 respondent,NA
c66-eng.txt,T,h you about the requirements 12you must attach one of the following documents to this,TRUE
c67-eng.txt,T,noplease tick if additional sheets are attached.9respondents rst name middle name(s),NA
c67-eng.txt,T,"tice, strand, london wc2a 2ll. you must attach one of the following documents to this",TRUE
c68-eng.txt,T,noplease tick if additional sheets are attached.9respondents rst name middle name(s),NA
c68-eng.txt,T,"tice, strand, london wc2a 2ll. you must attach one of the following documents to this",TRUE
c69-eng.txt,T,noplease tick if additional sheets are attached.9respondents rst name middle name(s),NA
c69-eng.txt,T,"tice, strand, london wc2a 2ll. you must attach one of the following documents to this",TRUE
c78-bil.txt,F,d arrangements orderc78 application for attachment of a warning notice to a child arra,NA
c78-bil.txt,T,ts.please tick if additional sheets are attached.enwr llys lle maer achosion yn cael e,NA
c78-eng.txt,T,d arrangements orderdd /mm /yyyy please attach a copy of the order where available.1.,TRUE
c78-eng.txt,F,ts.please tick if additional sheets are attached.name of child(ren) involved in other,NA
c79-bil.txt,T,rbynebau neu dystiolaeth arall 14please attach a copy of the enforcement order if 7c.,TRUE
c79-eng.txt,T,the applicationname of child(ren)please attach a copy of the order where available.to,TRUE
c79-eng.txt,T,plain why you are making this claim and attach any receipts or other evidence see cb5,NA
c79-eng.txt,T,"or time period should be amended.please attach a copy of the enforcement order, if ava",TRUE
c79-eng.txt,F,"ts.please tick if additional sheets are attached.name of child(ren)if yes, please prov",NA
c79-eng.txt,T,ave completed all parts of the form and attached all the relevant documents: a copy of,NA
capsbacs1-eng.txt,F,ps helpdesk on 0300 123 1057 payment of attachment of earnings orders by bacs thank yo,FALSE
capsbacs3-eng.txt,F,"urrently in force (if necessary, please attach a separate sheet) note: this form is fo",NA
cb4-eng.txt,T,ese details on form c8 which you should attach to your application. the court staff wi,TRUE
cb5-eng.txt,F,o an existing child arrangements order. attaching a warning notice to a child arrangem,NA
certificate-of-loss-eng.txt,T,"ess, or local benefit office, stamp; or attach it to an original compliment slip or sh",NA
ch1-eng_doc.txt,T,"of issues, preferably agreed, should be attached to the draft directions so as to assi",NA
ch1-eng_doc.txt,T,"to expert evidence, the parties should attach a list of issues, preferably agreed. tr",NA
ch1-eng_doc.txt,F,form of summary of precedent h. this is attached for information only at this stage. i,NA
ch14-eng_doc.txt,F,ch have been allowed are set out in the attached schedule and with the interest on the,NA
ch14-eng_doc.txt,F,iven by the testator are set out in the attached schedule and with the interest on the,NA
ch14-eng_doc.txt,F,NA,NA
ch14-eng_doc.txt,F,NA,NA
ch15-eng_doc.txt,F,r sale () the property described in the attached first schedule (“the property”) be so,NA
ch19-eng_doc.txt,F,p consist of the items specified in the attached schedule the schedule (1) the leaseho,NA
ch2-eng_doc.txt,F,e court file [initialled by the master][attached to the application notice dated (date,NA
ch26-eng_doc.txt,F,having agreed the terms set out in the attached schedule the court pronounces for/aga,NA
ch27-eng_doc.txt,F,"testamentary documents specified in the attached schedule to masters’ appointments, gr",NA
ch30-eng_doc.txt,F,he deceased on [date] is set out in the attached schedule () the costs of the applicat,NA
ch31-eng_doc.txt,F,ving agreed to the terms set out in the attached schedule it is by consent ordered tha,NA
ch32-eng_doc.txt,F,the terms of compromise set out in the attached schedule and consented to this order,NA
ch35-eng_doc.txt,F,act 1975 the property specified in the attached schedule (being part of the net estat,NA
ch37-eng_doc.txt,T,erved by the claimant on the defendants attach lodgment schedule service of the order,NA
ch42-eng_doc.txt,F,NA,NA
ch7-eng_doc.txt,F,court of justice in accordance with the attached claim form 2) you are or may be one o,NA
ch8-eng_doc.txt,F,e of judgment/order) a copy of which is attached to this notice 2) from the time of th,NA
child-support-how-to-appeal-(england)-eng.txt,F,re that there are some responsibilities attached to being a representative. the hearin,NA
child-support-how-to-appeal-(england)-eng.txt,F,usion. the importance that the tribunal attaches to evidence may be affected if the wi,NA
child-support-how-to-appeal-(scotland)-eng.txt,F,re that there are some responsibilities attached to being a representative. the hearin,NA
child-support-how-to-appeal-(scotland)-eng.txt,F,usion. the importance that the tribunal attaches to evidence may be affected if the wi,NA
cic-guide-1996-eng.txt,F,e classified in one of the tariff bands attached to the scheme. minor injuriessuch as,NA
cic-guide-2001-eng.txt,F,o be included in oneof the tariff bands attached to the scheme. any criminal injury wi,NA
cic-guide-2008-eng.txt,F,e classified in one of the tariff bands attached to the scheme. minor injuriessuch as,NA
comp-3-eng_doc.txt,NA,NA,NA
comp-8-eng_doc.txt,T,ted in the witness statement in support attached to this application. (* delete this p,NA
comp-8-eng_doc.txt,F,NA,NA
control-order-eng_doc.txt,F,of your claim in the box below. you may attach additional sheets of paper if required.,NA
control-order-eng_doc.txt,F,NA,NA
control-order-eng_doc.txt,F,nder the human rights act 1998. you may attach additional sheets of paper if required.,NA
cop-dla-eng.txt,F,ailed statement of grounds set out belowattachedare you making an interim application?,NA
cop-dla-eng.txt,T,re than one previous application please attach the information about other previous ap,NA
cop-dol10-eng.txt,T,fy the nature of the order you seek and attach a draft. duration of the order sought i,TRUE
cop-dol10-eng.txt,T,ch is identied within the application.i attach form cop3 or other evidence of capacity,NA
cop-dol10-eng.txt,T,"ion 10aa and provide details, including attaching statements.181. people who have been",NA
cop-dol10-eng.txt,F,NA,NA
cop-dol10-eng.txt,F,the body of the application form or in attached documents.failure to provide the info,NA
cop-dol10-eng.txt,F,NA,NA
cop-dol10-eng.txt,F,NA,NA
cop-dol10-eng.txt,F,NA,NA
cop-dol10-eng.txt,F,NA,NA
cop-gn2-eng.txt,T,"ed (in the form of a witness statement, attaching documents as exhibits where necessar",NA
cop-gn3-eng.txt,T,"ders made by the court, which should be attached to your statement. to download the fo",NA
cop1-eng.txt,T,ght and reasons for the urgency you can attach draft interim order/ directions 1.2do y,NA
cop10-eng.txt,T,ith this application notice. if you are attaching any written evidence please use the,NA
cop1b-eng.txt,F,NA,NA
cop1c-eng.txt,T,annex must be submitted with cop11.2 i attacha copy of the order appointing a deputy,NA
cop1d-eng.txt,T,r. mrs.missms.other(b)applicant 2 1.2 i attacha copy of the order appointing you deput,NA
cop1e-eng.txt,T,.missms.other (b) applicant 21.2 please attach if applicablea copy of the order appoin,NA
cop1e-eng.txt,F,relevant exhibits if necessary evidence attached2.2 if joint deputy for property and a,NA
cop1f-eng.txt,F,relevant exhibits if necessary evidence attached3the statement of truth is to be signe,NA
cop20a-eng.txt,F,"re true. note:no other forms need to be attached with this form. however, it may assis",NA
cop20b-eng.txt,F,"re true. note:no other forms need to be attached with this form. however, it may assis",NA
cop22-eng.txt,T,r my belief are as follows: document(s) attachedif your belief is based upon medical o,NA
cop24-eng.txt,T,court then it should be included in or attached to this form. if the court requires t,NA
cop25-eng.txt,T,afdavit then it must be included in or attached to this form. only the following may,NA
cop35-eng.txt,T,with this appellants notice. if you are attaching any written evidence please use the,NA
cop5-eng.txt,T,ment to provide your evidence. evidence attached4section 4 attending court hearings4.1,NA
cop5-eng.txt,F,NA,NA
cop7-bil.txt,T,ans the lpa made by the donor. evidence attached ^ wneud aa). ^ ^er. rhoddwr. * maer o,NA
cop7-eng.txt,T,with this application form. if you are attaching any written evidence please use the,NA
cop8-eng.txt,T,with this application form. if you are attaching any written evidence please use the,NA
cop9-eng.txt,T,ith this application notice. if you are attaching any written evidence please use the,NA
criminal-injuries-compensation-scheme-1996-eng.txt,F,"ation act 1995 (c.53), hereby makes the attachedcriminal injuries compensation scheme,",NA
criminal-injuries-compensation-scheme-2001-eng.txt,F,"sation act 1995 (c.53),hereby makes the attached criminal injuries compensation scheme",NA
cs-a1-eng.txt,F,NA,NA
cs-a1-eng.txt,T,dvice (details at the end of the form). attach any evidence/additional sheets if neces,NA
cs-a2-eng.txt,F,NA,NA
cs-a2-eng.txt,T,dvice (details at the end of the form). attach any evidence/additional sheets if neces,NA
cs-a3-eng.txt,T,nd require you to act quickly. have you attached a copy of the decision under appeal?,NA
cs-a3-eng.txt,T,dvice (details at the end of the form). attach any evidence/additional sheets if neces,NA
cs-a4-eng.txt,T,", please state which language. have you attached a copy of the decision under appeal?",NA
cs-a4-eng.txt,T,dvice (details at the end of the form). attach any evidence/additional sheets if neces,NA
cs-a90-eng.txt,T,ca listpova listyes noyes no5. have you attached a copy of the decision under appeal?,NA
cs-a90-eng.txt,T,dvice (details at the end of the form). attach any evidence/additional sheets if neces,NA
cs-a91-eng.txt,T,"er, give details in section f) have you attached a copy of the decision under appeal?",NA
cs-a91-eng.txt,T,dvice (details at the end of the form). attach any evidence/additional sheets if neces,NA
d11-bil.txt,T,yn dda. awr munud hours minutes please attach a draft copy of the order you are apply,TRUE
d11-bil.txt,F,NA,NA
d11-bil.txt,T,any order you are applying for must be attached to your application. the draft should,TRUE
d11-eng.txt,F,NA,NA
d11-eng.txt,F,NA,NA
d11-eng.txt,T,any order you are applying for must be attached to your application. the draft should,TRUE
d186-eng.txt,T,ese things. the form d10/d510 should be attached to the statement and marked as an exh,NA
d190-eng.txt,F,ump-sum payment or a pension-sharing or attachment order. this leaet is for you if you,FALSE
d252-bil.txt,T,"ument eg. order, judgment ) dated (copy attached) i have prepared my bill of costs for",NA
d252-eng.txt,T,"ument eg. order, judgment ) dated (copy attached) i have prepared my bill of costs for",NA
d254-bil.txt,F,NA,NA
d254-eng.txt,F,ault costs certicate i certify that the attached notice of commencement was served on,NA
d440-eng.txt,F,NA,NA
d508-cym.txt,F,"ompleting this form, read carefully the attached notes for guidance.in the county cour",NA
d50b-bil.txt,F,NA,NA
d50b-bil.txt,F,NA,NA
d50b-bil.txt,F,he facts stated in this application and attached statement are true *i am duly authori,NA
d50b-eng.txt,F,NA,NA
d50b-eng.txt,F,he facts stated in this application and attached statement are true *i am duly authori,NA
d50b-eng.txt,F,NA,NA
d50c-bil.txt,T,eu manylion yma.) dd/mm/bbbb you should attach this form to a completed form a1 when i,TRUE
d50c-eng.txt,T,ropriate boxes) dd /mm /yyyy you should attach this form to a completed form a1 when i,TRUE
d50d-bil.txt,F,NA,NA
d50d-bil.txt,T,which they propose to rely. you should attach this form to a completed form a1 when i,TRUE
d50d-eng.txt,T,he facts stated in this application and attached statement are true *i am duly authori,NA
d50e-bil.txt,T,his application and evidence of this is attached. the respondent has not consented to,NA
d50j-bil.txt,T,vidence attached) no (other evidence is attached supporting the persons intention of a,NA
d50j-eng.txt,T,vidence attached) no (other evidence is attached supporting the persons intention of a,NA
d50k-bil.txt,T,llawn enw ffyrm cyfreithiwr y ceisydd i attach further evidence of the calculation ato,NA
d50k-eng.txt,F,"ethods, as it considers appropriate: an attachment of earnings order a third party deb",FALSE
d70-bil.txt,F,mine the status of a couple you have an attached documents on the attorney general at,NA
d70-bil.txt,F,gun dd/mm/copies of the application and attached documents were served on the attorney,NA
d70-eng.txt,F,serve copies of the application and the attached documents on the attorney general at,NA
d70-eng.txt,F,dd/mm/yyyycopies of the application and attached documents were served on the attorney,NA
d8-bil.txt,T,"arriage, since you got married you must attach a copy of your change of name deed or o",TRUE
d8-bil.txt,F,NA,NA
d8-bil.txt,T,on y briodas/bartneriaeth silyou should attach your marriage or civil partnership cert,TRUE
d8-bil.txt,F,er pension sharing/compensation sharing/attachment order os ydych yn anghytuno gydach,FALSE
d8-eng.txt,T,"arriage, since you got married you must attach a copy of your change of name deed or o",TRUE
d8-eng.txt,F,NA,NA
d8-eng.txt,T,ents to this address. page 6 you should attach your marriage or civil partnership cert,TRUE
d8-eng.txt,F,pension sharing/ compensation sharing/ attachment order these decisions are called 'n,FALSE
d8-nodiadau-d8-notes-bil.txt,T,with the seal of the court). if you are attaching an order made by a family proceeding,NA
d80a-bil.txt,T,"rely as evidence of adultery, you must attach a copy of this statement and tick the r",TRUE
d80a-eng.txt,T,"ment of service, a copy of which i have attached to this statement and marked a, as th",NA
d80b-bil.txt,T,"he acknowledgement of service, you must attach a copy to this statement and tick the r",TRUE
d80b-eng.txt,T,"he acknowledgement of service, you must attach a copy to this statement and tick the r",TRUE
d80c-bil.txt,T,the acknowledgement of service you must attach a copy to this statement and tick the r,TRUE
d80c-eng.txt,T,the acknowledgement of service you must attach a copy to this statement and tick the r,TRUE
d80d-bil.txt,T,"ce of the respondents consent, you must attach a copy to this statement and tick the r",TRUE
d80d-eng.txt,T,"ce of the respondents consent, you must attach a copy to this statement and tick the r",TRUE
d80e-eng.txt,T,"he acknowledgement of service, you must attach a copy to this statement and tick the r",TRUE
d80f-bil.txt,T,the acknowledgement of service you must attach a copy to this statement and tick the r,TRUE
d80f-eng.txt,T,the acknowledgement of service you must attach a copy to this statement and tick the r,TRUE
d80g-bil.txt,T,eedings and any orders made; you should attach copies of any orders made. (b) achosion,TRUE
d80g-eng.txt,T,eedings and any orders made; you should attach copies of any orders made. continued ov,TRUE
d80g-eng.txt,T,"he acknowledgement of service, you must attach a copy to this statement and tick the r",TRUE
d81-bil.txt,T,) date of birth 6. please state how the attached proposed consent order was reached e.,NA
d81-bil.txt,F,NA,NA
d81-bil.txt,F,n order include provision for a pension attachment order and/or a ppf pension compensa,FALSE
d81-bil.txt,F,NA,NA
d81-bil.txt,F,"and if appropriate, any pension sharing/attachment annex or compensation sharing/annex",NA
d81-eng.txt,F,ion arrangement/ppf board for a pension attachment order and/or a ppf pension compensa,FALSE
d8a-bil.txt,F,"ecessary, continue on another sheet and attach it to this form. living arrangements 2.",NA
d8a-bil.txt,T,lease give details in the box below and attach a copy of any order(s) which you have.,TRUE
d8d-eng.txt,T,"ship has broken down irretrievably, and attach a separate petition for divorce/dissolu",NA
d8d-nodiadau-d8d-notes-bil.txt,T,ssing to make an application.if you are attaching any order of the high court or a cou,NA
d8d-notes-eng.txt,T,"sing to make an application. if you are attaching any order of the high court, county",NA
d8n-eng.txt,F,artnership act of 2004 (pension sharing/attachment order) or section 25f or section 21,FALSE
d8n-nodiadau-d8n-notes-bil.txt,T,petition to your the court). if you are attaching an order made by a has been stamped,NA
d8n-notes-eng.txt,T,the court fee and any documents you are attaching in support of your application. you,NA
epl4-eng.txt,T,e loss claim item being pursuedevidence attached comments value claimed is gross amoun,NA
epl5-eng.txt,T,e loss claim item being pursuedevidence attached comments value claimedinterest gross,NA
epl6-and-epl7-eng.txt,T,imant losses item being pursuedevidence attached % interest rate claimant defendant re,NA
et1-eng.txt,F,NA,NA
et1a-eng.txt,F,NA,NA
et3-eng.txt,F,NA,NA
ex244-eng_doc.txt,T,"apply for an order, a draft of which is attached, for (3) (please note that all applic",NA
ex321-eng.txt,F,the court for: a warrant of control; an attachment of earnings order; a third-party de,FALSE
ex321-eng.txt,F,at hmctsformnder.justice.gov.uk page 4 attachment of earnings order an attachment of,FALSE
ex321-eng.txt,F,(warrant of control); wages or salary (attachment of earnings order); savings (third-,FALSE
ex322-eng.txt,F,ses if there is no living accommodation attached and they believe the debtors goods ar,NA
ex323-eng.txt,F,uk this will help you decide whether an attachment of earnings order is the best actio,FALSE
ex323-eng.txt,F,ntee that you will get your money back. attachment of earnings how do i ask for an att,FALSE
ex323-eng.txt,F,NA,NA
ex323-eng.txt,F,the defendants home area to search the attachment of earnings index. this index is a,FALSE
ex323-eng.txt,F,quest for and result of a search in the attachment of earnings index) which you can on,FALSE
ex323-eng.txt,F,you will need form n337 (request for an attachment of earnings order). you can get thi,FALSE
ex323-eng.txt,F,"dge thinks the defendant knew about the attachment of earnings application, the judge",FALSE
ex323-eng.txt,F,"wage, it may not be possible to make an attachment of earnings order. the order will b",FALSE
ex323-eng.txt,F,ostmark shown on the envelope which the attachment of earnings order came in. the cour,FALSE
ex323-eng.txt,F,r reissue) to ask the court to send the attachment of earnings order to the new employ,FALSE
ex323-eng.txt,F,nsolidated order. anyone involved in an attachment of earnings order (including the de,FALSE
ex323-eng.txt,F,and procedures. page 7 n337 request for attachment of earnings order (06.09) crown cop,FALSE
ex324-eng.txt,T,vit. a copy of the order served must be attached (exhibited) to the afdavit. if the en,TRUE
ex325-eng.txt,T,u should obtain a copy of the entry and attach it to your application. information abo,NA
ex326-eng.txt,F,n ways are: a warrant of control; or an attachment of earnings order. what is a warran,FALSE
