Unique Form ID,Form Reference,Form Title,Agency/Organisation,Form/Guidance/Other,Language,Doc Date,File Name,File Type,Location,Formfinder category,Downloads,Unique Downloads,References,Signature,Payment,Attachment,Owner,Processor,End User,Multiple Users on same form,Fields,Internal Logic,Dependencies
25,A20,Mabwysiadu: Arweiniad i Ddefnyddwyr y Llysoedd / Adoption: A Guide for Court Users,HMCTS,Guidance,Welsh / Bilingual,10/2003,a20-bil.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,A20(1),President's intercountry supplement,HMCTS,Leaflet,English,11/2008,a20(1)-eng.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""a20"", ""a20(1)"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,A20(1),Canolfannau Mabwysiadu Rhyngwladol - Arweiniad a gyhoeddwyd gan Lywydd yr Adran Deulu,HMCTS,Guidance,Welsh,11/2008,a20(1)-cym.pdf,PDF,Formfinder,Mabwysiadu,NA,NA,"c(""a20"", ""a20(1)"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,A21,Intercountry adoption and the 1993 Hague Convention,HMCTS,Leaflet,English,11/2016,a21-eng.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""ex160a"", ""ex50"", ""a59"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,A21,Mabwysiadu Rhyng-wladol a Chytundeb yr Hag 1993,HMCTS,Leaflet,Welsh,04/2014,a21-cym.pdf,PDF,Formfinder,Mabwysiadu,NA,NA,"c(""ex160a"", ""ex50"", ""a59"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,A4,Application for revocation of an order freeing a child for adoption,HMCTS,Form,English,06/2001,a4-eng.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,A5,Application for substitution of one adoption agency for another,HMCTS,Form,English,05/2002,a5-eng.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,A50,Application for a Placement Order (Section 22 Adoption and Children Act 2002),HMCTS,Form,English,11/2014,a50-eng.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,A50,Cais am orchymyn lleoli. Adran 22 Deddf Mabwysiadu a Phlant 2002 / Application for a placement order Section 22 Adoption and Children Act 2002,HMCTS,Form,Welsh / Bilingual,04/2011,a50-bil.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,A50 Nodiadau / A50 Notes,Cais am Orchymyn Lleoli (Ffurflen A50) Nodiadau ar lenwi'r ffurflen / Application for a Placement Order (Form A50) Notes on completing the form,HMCTS,Notes,Welsh / Bilingual,12/2005,a50-nodiadau-a50-notes-bil.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,A50 Notes,Application for a Placement Order (Form A50) - Notes on completing the form,HMCTS,Notes,English,04/2014,a50-notes-eng.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""a65"", ""a50"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,A51,Application for variation of a placement order (Section 23 Adoption and Children Act 2002),HMCTS,Form,English,11/2014,a51-eng.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,A51,Cais i amrywio gorchymyn lleoli. Adran 23 Deddf Mabwysiadu a Phlant 2002 / Application for variation of a placement order Section 23 Adoption and Children Act 2002,HMCTS,Form,Welsh / Bilingual,04/2011,a51-bil.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,A51 Nodiadau / A51 Notes,Cais i amrywio gorchymyn lleoli (Ffurflen 51) Nodiadau ar lenwi'r ffurflen / Application for variation of a placement order (Form A51) Notes on completing the form,HMCTS,Notes,Welsh / Bilingual,12/2005,a51-nodiadau-a51-notes-bil.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,A51 Notes,Application for variation of a placement order (Form A51) - Notes on completing the form,HMCTS,Notes,English,04/2014,a51-notes-eng.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""ex160a"", ""ex50"", ""a51"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,A52,Application for revocation of a Placement Order (Section 24 Adoption and Children Act 2002),HMCTS,Form,English,11/2014,a52-eng.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,A52,Cais am ddiddymu gorchymyn lleoli Adran 24 Deddf Mabwysiadu a Phlant 2002 / Application for revocation of a placement order Section 24 Adoption and Children Act 2002,HMCTS,Form,Welsh / Bilingual,04/2011,a52-bil.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,A52 Nodiadau / A52 Notes,Cais am ddiddymu gorchymyn lleoli (Ffurflen 52). Nodiadau ar lenwi'r ffurflen / Application for revocation of a placement order (Form 52). Notes on completing the form,HMCTS,Notes,Welsh / Bilingual,04/2011,a52-nodiadau-a52-notes-bil.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""a65"", ""a52-notes"", ""a52"", ""a52 notes"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,A52 Notes,Application for Revocation of a Placement Order (Form 52) - Notes on Completing the Form,HMCTS,Notes,English,04/2014,a52-notes-eng.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""ex160a"", ""ex50"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,A53,Application for a Contact Order (Section 26 Adoption and Children Act 2002 or an order for contact or prohibiting contact under section 51A of the Adoption and Children Act 2002),HMCTS,Form,English,11/2016,a53-eng.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,A53,Cais am orchymyn cyswllt Adran 26 Deddf Mabwysiadu a Phlant 2002 / Application for a contact order Section 26 Adoption and Children Act 2002,HMCTS,Form,Welsh / Bilingual,04/2011,a53-bil.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,A53 Nodiadau / A53 Notes,Cais am orchymyn cyswllt dan adran 26 Deddf Mabwysiadu a Phlant 2002 (Ffurflen A53). Nodiadau ar lenwi'r ffurflen / Application for a contact order under section 26 of the Adoption and Children Act 2002 (Form A53). Notes on completing the form,HMCTS,Notes,Welsh / Bilingual,04/2011,a53-nodiadau-a53-notes-bil.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""fp2"", ""a65"", ""a53"", ""a53-notes"", ""a53 notes"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,A53 Notes,Application for a Contact Order (Section 26 of the Adoption and Children Act 2002 or an order under section 51A of the Act) (Form A53). Notes on completing the form,HMCTS,Notes,English,11/2016,a53-notes-eng.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""fp2"", ""a53"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,A54,Application for variation or revocation of a Contact Order (Section 27(1)(b) or Section 51B(1)(c) Adoption and Children Act 2002),HMCTS,Form,English,11/2016,a54-eng.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,A54,Cais i amrywio neu ddiddymu gorchymyn cyswllt (Adran 27(1)(b) Deddf Mabwysiadu a Phlant 2002) / Application for variation or revocation of a contact order (Section 27(1)(b) Adoption and Children Act 2002),HMCTS,Form,Welsh / Bilingual,11/2016,a54-bil.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,A54 Nodiadau / A54 Notes,Cais i amrywio neu ddiddymu gorchymyn cyswllt a wnaed dan adran 26 Deddf Mabwysiadu a Phlant 2002 (Ffurflen A54) Nodiadau ar lenwi'r ffurflen / Application for variation or revocation of a contact order made under section 26 of the Adoption and Children Act 2002 (Form A54) Notes on completing the form,HMCTS,Notes,Welsh / Bilingual,12/2005,a54-nodiadau-a54-notes-bil.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,A54 Notes,Application for variation or revocation of a Contact Order (Section 27(1)(b) or Section 51B(1)(c) of the Adoption and Children Act 2002) (Form A54). Notes on completing the form,HMCTS,Notes,English,11/2016,a54-notes-eng.pdf,PDF,Formfinder,Adoption,NA,NA,a54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,A55,Application for permission to change a child's surname (Section 28 Adoption and Children Act 2002),HMCTS,Form,English,11/2016,a55-eng.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,A55,Cais am ganiatâd i newid cyfenw plentyn (Adran 28 Deddf Mabwysiadu a Phlant 2002) / Application for permission to change a child's surname (Section 28 Adoption and Children Act 2002),HMCTS,Form,Welsh / Bilingual,11/2016,a55-bil.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,A55 Nodiadau / A55 Notes,Cais am ganiatâd i newid cyfenw plentyn (Ffurflen A55)Nodiadau ar lenwi'r ffurflen / Application for permission to change a child's surname (Form A55)Notes on completing the form,HMCTS,Notes,Welsh / Bilingual,12/2005,a55-nodiadau-a55-notes-bil.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,A55 Notes,Application for permission to change a child's surname (Form A55). Notes on completing the form,HMCTS,Notes,English,11/2016,a55-notes-eng.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""ex160a"", ""ex50"", ""a55"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,A56,Application for permission to remove a child from the United Kingdom (Section 28 Adoption and Children Act 2002),HMCTS,Form,English,11/2016,a56-eng.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,A56,Cais am ganiatâd i symud plentyn o'r Deyrnas Unedig (Adran 28 Deddf Mabwysiadu a Phlant 2002) / Application for permission to remove a child from the United Kingdom (Section 28 Adoption and Children Act 2002),HMCTS,Form,Welsh / Bilingual,11/2016,a56-bil.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,A56 Nodiadau / A56 Notes,Cais am ganiatad i symud plentyn o'r Deyrnas Unedig (Ffur en A56) - Nodiadau ar lenwi'r ffur en | Application for permission to remove a child from the United Kingdom (Form A56) - Notes on completing the form,HMCTS,Notes,Welsh / Bilingual,11/2016,a56-nodiadau-a56-notes-bil.pdf,PDF,Formfinder,Adoption,NA,NA,a56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,A56 Notes,Application for permission to remove a child from the United Kingdom (Form A56). Notes on completing the form,HMCTS,Notes,English,11/2016,a56-notes-eng.pdf,PDF,Formfinder,Adoption,NA,NA,a56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,A57,Application for a Recovery Order (Section 41 Adoption and Children Act 2002),HMCTS,Form,English,11/2016,a57-eng.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,A57,Cais am orchymyn dychwelyd plentyn (Adran 41 Deddf Mabwysiadu a Phlant 2002) / Application for a recovery order (Section 41 Adoption and Children Act 2002),HMCTS,Form,Welsh / Bilingual,11/2016,a57-bil.pdf,PDF,Formfinder,Adoption,NA,NA,a65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,A57 Nodiadau | A57 Notes,Cais am orchymyn adfer (Ffur en A57) Nodiadau ar lenwi'r ffur en | Application for a recovery order (Form A57). Notes on completing the form,HMCTS,Notes,Welsh / Bilingual,11/2016,a57-nodiadau-a57-notes-bil.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""a65"", ""a57-notes"", ""a57"", ""a57 notes"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,A57 Notes,Application for a Recovery Order (Form A57). Notes on completing the form,HMCTS,Notes,English,11/2016,a57-notes-eng.pdf,PDF,Formfinder,Adoption,NA,NA,a57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,A58,Application for an Adoption Order (Section 46 Adoption and Children Act 2002),HMCTS,Form,English,07/2017,a58-eng.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""ex160"", ""a60"", ""a59"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,A58,Cais am orchymyn mabwysiadu (Adran 46 Deddf Mabwysiadu a Phlant 2002) / Application for an adoption order (Section 46 Adoption and Children Act 2002),HMCTS,Form,Welsh / Bilingual,11/2016,a58-bil.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""ex160a"", ""a60"", ""a59"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,A58 Nodiadau / A58 Notes,"Cais am orchymyn mabwysiadu (Ffur en A58), nodiadau ar lenwi'r ffur en / Application for an adoption order (Form A58). Notes on completing the form",HMCTS,Notes,Welsh / Bilingual,11/2016,a58-nodiadau-a58-notes-bil.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""a60"", ""a59"", ""a58"", ""a58-notes"", ""a58 notes"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,A58 Notes,Application for an Adoption Order (Form A58) - Notes on completing the form,HMCTS,Notes,English,07/2017,a58-notes-eng.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""ex160"", ""ex50"", ""a60"", ""a59"", ""a58"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,A59,Application for a Convention Adoption Order (Section 46 Adoption and Children Act 2002),HMCTS,Form,English,11/2016,a59-eng.pdf,PDF,Formfinder,Adoption,NA,NA,a61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,A59,Cais am orchymyn mabwysiadu dan y Cytundeb (Adran 46 Deddf Mabwysiadu a Phlant 2002) / Application for a Convention adoption order (Section 46 Adoption and Children Act 2002),HMCTS,Form,Welsh / Bilingual,11/2016,a59-bil.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,A59 Nodiadau / A59 Notes,Cais am orchymyn mabwysiadu dan y Cytundeb (Ffur en A59). Nodiadau ar lenwi'r ffur en / Application for a Convention adoption order (Form A59). Notes on completing the form,HMCTS,Notes,Welsh / Bilingual,11/2016,a59-nodiadau-a59-notes-bil.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""a61"", ""a59"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,A59 Notes,Application for a Convention Adoption Order (Form A59). Notes on completing the form,HMCTS,Notes,English,11/2016,a59-notes-eng.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""a61"", ""a59"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,A60,Application for an Adoption Order (excluding a Convention adoption order) where the child is habitually resident outside the British islands and is brought into the United Kingdom for the purposes of adoption (Section 46 Adoption and Children Act 2002),HMCTS,Form,English,11/2016,a60-eng.pdf,PDF,Formfinder,Adoption,NA,NA,a61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,A60,Cais am orchymyn mabwysiadu (ac eithrio gorchymyn mabwysiadu dan y Cytundeb) / Application for an adoption order (excluding a Convention adoption order),HMCTS,Form,Welsh / Bilingual,11/2016,a60-bil.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""ex160a"", ""a61"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,A60 Nodiadau / A60 Notes,Cais am orchymyn mabwysiadu (ac eithrio gorchymyn mabwysiadu dan y Cytundeb) (Ffur en A60). Nodiadau ar lenwi'r ffur en / Application for an adoption order (excluding a Convention adoption order) (Form A60). Notes on completing the form,HMCTS,Notes,Welsh / Bilingual,11/2016,a60-nodiadau-a60-notes-bil.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""a60"", ""a60-notes"", ""a60 notes"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,A60 Notes,Application for an Adoption Order (excluding a Convention adoption order) where the child is habitually resident outside the British islands and is brought into the United Kingdom for the purposes of adoption (Form A60). Notes on completing the form,HMCTS,Notes,English,11/2016,a60-notes-eng.pdf,PDF,Formfinder,Adoption,NA,NA,a60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,A61,Application for an order for parental responsibility prior to adoption abroad (Section 84 Adoption and Children Act 2002),HMCTS,Form,English,11/2016,a61-eng.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,A61,Cais am orchymyn cyfrifoldeb rhiant cyn mabwysiadu dramor (Adran 84 Deddf Mabwysiadu a Phlant 2002) / Application for an order for parental responsibility prior to adoption abroad (Section 84 Adoption and Children Act 2002),HMCTS,Form,Welsh / Bilingual,11/2016,a61-bil.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,A61 Nodiadau / A61 Notes,Cais am orchymyn cyfrifoldeb rhiant cyn mabwysiadu dramor (Ffur en A61). Nodiadau ar lenwi'r ffur en / Application for an order for parental responsibilty prior to adoption abroad (Form A61). Notes on completing the form,HMCTS,Notes,Welsh / Bilingual,11/2016,a61-nodiadau-a61-notes-bil.pdf,PDF,Formfinder,Adoption,NA,NA,"c(""a61"", ""a61-notes"", ""a61 notes"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,A61 Notes,Application for an Order for parental responsibilty prior to adoption abroad (Form A61). Notes on completing the form,HMCTS,Notes,English,11/2016,a61-notes-eng.pdf,PDF,Formfinder,Adoption,NA,NA,a61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,A62,Application for a direction under section 88(1) of the Adoption and Children Act 2002,HMCTS,Form,English,11/2014,a62-eng.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,A62,Cais am gyfarwyddyd dan adran 88(1) Deddf Mabwysiadu a Phlant 2002 / Application for a direction under section 88(1) of the Adoption and Children Act 2002,HMCTS,Form,Welsh / Bilingual,04/2011,a62-bil.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,A62 Nodiadau / A62 Notes,Cais am gyfarwyddyd dan adran 88(1) Deddf Mabwysiadu a Phlant 2002 (Ffurflen A62)Nodiadau ar lenwi'r ffurflen / Application for a direction under section 88(1) of the Adoption and Children Act 2002 (Form A62) Notes on completing the form,HMCTS,Notes,Welsh / Bilingual,12/2005,a62-nodiadau-a62-notes-bil.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,A62 Notes,Application for a Direction under Section 88(1) of the Adoption and Children Act 2002 (Form A62) ? Notes on Completing the Form,HMCTS,Notes,English,04/2014,a62-notes-eng.pdf,PDF,Formfinder,Adoption,NA,NA,a62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,A63,Application for an order to annul a Convention adoption or Convention adoption order or for an overseas adoption or determination under section 91 to cease to be valid. Section 89 Adoption and Children Act 2002,HMCTS,Form,English,11/2014,a63-eng.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,A63,Cais am orchymyn i ddirymu mabwysiad dan y Cytundeb neu orchymyn mabwysiadu dan y Cytundeb neu i fabwysiad tramor neu benderfyniad dan adran 91 beidio a bod yn ddilys Adran 89 Deddf Mabwysiadu a Phlant 2002 / Application for an order to annul a Convention adoption or Convention adoption order or for an overseas adoption or determination under section 91 to cease to be valid Section 89 Adoption and Children Act 2002,HMCTS,Form,Welsh / Bilingual,04/2011,a63-bil.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,A63 Nodiadau / A63 Notes,Cais am orchymyn i ddirymu mabwysiad dan y Cytundeb neu orchymyn mabwysiadu dan y Cytundeb neu i fabwysiad tramor neu benderfyniad dan adran 91 beidio â bod yn ddilys (Ffurflen A63) / Application for an order to annul a Convention adoption or Convention adoption order or for an overseas adoption or determination under section 91 to cease to be valid (Form A63),HMCTS,Notes,Welsh / Bilingual,12/2005,a63-nodiadau-a63-notes-bil.pdf,PDF,Formfinder,Adoption,NA,NA,none detected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
